,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
67,Carmel,3921,11,0,0,0,11,96,20,73,3,0
68,Carpinteria,13712,22,0,0,2,20,212,36,148,28,0
69,Carson,92895,435,5,14,131,285,1971,345,1181,445,11
70,Cathedral City,55056,172,2,22,39,109,717,188,283,246,6
71,Central Marin,35033,40,0,10,19,11,723,193,503,27,0
72,Ceres,49101,228,1,13,74,140,1452,325,792,335,19
73,Cerritos,51307,162,0,13,91,58,1794,372,1259,163,3
74,Chico,94273,611,2,86,106,417,2403,327,1761,315,66
75,Chino,91535,259,1,25,67,166,2216,407,1508,301,6
76,Chino Hills,81177,77,1,8,17,51,1079,242,747,90,3
77,Chowchilla,18551,42,3,1,4,34,293,81,144,68,5
78,Chula Vista,274370,835,6,79,256,494,3611,585,2338,688,20
79,Citrus Heights,88603,324,1,47,86,190,2478,410,1739,329,12
80,Claremont,36178,66,1,15,19,31,930,227,646,57,5
81,Clayton,12330,1,0,0,1,0,146,11,128,7,0
82,Clearlake,15037,109,4,16,21,68,506,188,220,98,7
83,Cloverdale,8826,19,0,6,4,9,138,22,106,10,0
84,Clovis,111759,221,1,46,36,138,2438,358,1932,148,6
85,Coachella,46115,104,1,5,40,58,1143,123,766,254,4
86,Coalinga,16593,73,2,3,8,60,244,73,144,27,3
87,Colma,1524,37,0,0,18,19,359,32,309,18,0
88,Colton,55203,184,11,11,77,85,1600,324,851,425,14
89,Colusa,5961,11,1,1,1,8,80,24,42,14,0
90,Commerce,12961,128,1,9,48,70,995,108,646,241,7
91,Compton,97775,1174,22,38,424,690,2559,362,1349,848,58
92,Concord,130855,473,3,49,200,221,4126,446,3124,556,18
93,Corcoran,21487,75,0,8,11,56,380,88,214,78,2
94,Corning,7580,40,1,2,4,33,287,78,169,40,2
95,Corona,170041,263,6,46,119,92,3264,488,2185,591,21
96,Coronado,24491,18,0,2,3,13,314,32,262,20,0
97,Costa Mesa,114358,344,3,75,110,156,3792,515,2975,302,17
98,Cotati,7509,36,0,4,4,28,101,19,71,11,1
99,Covina,48557,188,2,28,67,91,1117,291,653,173,3
100,Crescent City,6245,35,0,2,8,25,220,18,199,3,5
101,Cudahy,24114,90,4,5,32,49,187,26,88,73,4
102,Culver City,39335,188,0,6,109,73,1756,246,1417,93,0
103,Cupertino,61078,72,0,18,14,40,956,183,720,53,7
104,Cypress,49223,58,0,14,25,19,704,146,478,80,5
105,Daly City,107928,242,3,38,103,98,1528,221,1130,177,8
106,Dana Point,34019,69,0,7,13,49,504,73,395,36,0
107,Danville,45202,16,0,0,10,6,326,53,251,22,1
108,Davis,69486,117,2,21,44,50,1690,232,1366,92,9
109,Delano,53141,238,10,13,44,171,1437,319,656,462,73
110,Del Mar,4391,14,0,3,2,9,118,26,78,14,0
111,Del Rey Oaks,1696,2,0,0,1,1,59,16,40,3,0
112,Desert Hot Springs,28991,309,3,22,56,228,638,292,179,167,8
113,Diamond Bar,56821,58,2,7,30,19,936,360,521,55,5
114,Dinuba,24411,184,0,9,28,147,597,77,427,93,4
115,Dixon,20472,53,1,3,14,35,368,35,278,55,4
116,Dorris,902,3,0,0,0,3,12,7,3,2,0
117,Dos Palos,5518,71,0,3,0,68,201,69,99,33,6
118,Downey,113277,367,5,14,185,163,2615,439,1570,606,15
119,Duarte,21816,62,0,5,19,38,403,49,287,67,1
120,Dublin,63463,108,0,6,47,55,1188,96,1005,87,2
